Month,Rainfall,Wind_Speed,Temperature,Humidity
January,32.6,2.2,26.6,84.1
February,26.6,1.2,26.6,85.8
March,5.8,1.3,28,81.2
April,5.5,1.8,28.8,76.3
May,1.5,1.5,29.3,75.8
June,5.6,1.4,28.6,77.7
July,6.9,1.5,28,76.9
August,1.2,1.9,28.7,70.4
September,0,1.8,29.2,65.4
Oktober,1.6,1.6,29.9,67.6
November,2.2,1.8,29.4,72.9
December,8.2,1.9,28.2,76.3
January,16.9,1.5,27,82.1
February,34.7,1.1,26.7,84.3
March,7.9,1.1,27.8,79.4
April,3.1,1.1,28.5,78.4
May,0.6,1,29.2,73.6
June,0.3,1,28.8,72.8
July,0,1.5,28.5,70.4
August,0.2,1.5,28.4,71.5
September,0,1.5,28.8,68
Oktober,0,1.4,29.4,68.2
November,2.7,1.2,29.2,74.8
December,9.1,1.6,28.2,78.3
January,5.3,1.4,28.6,80.5
February,17.8,1.4,27.7,83.2
March,11.3,1.5,28.5,81.4
April,6.8,1.5,29.4,77.3
May,5,1,29.2,79.2
June,6.7,1.1,28.7,77.1
July,8.4,1.3,28.5,78.1
August,7.3,1.1,28.4,76.8
September,7.9,1.3,28.5,77.8
Oktober,4.4,1.3,28.3,78.2
November,6.7,1.4,28.4,78
December,1.9,2.2,28.3,76.1
January,6.9,2,28.1,77.5
February,18.6,1.8,27.3,82.1
March,4.5,1.3,28.1,78.4
April,5.2,1.3,28.6,77.6
May,4.4,1.1,29,75.9
June,4.6,1.3,28.7,76.9
July,3.9,1.1,28.6,73.9
August,0,1.6,28.7,69.4
September,5.5,1.3,28.8,72.2
Oktober,3.6,1.3,29,74.6
November,6.5,1.5,28.3,78.2
December,8.2,1.6,28.2,76.5
January,6.9,2,27.8,76.5
February,15.4,1.6,27.1,82.6
March,6.1,1.5,27.9,79.7
April,5.3,1.2,28.6,78.6
May,0.5,1.2,29.4,73.5
June,0.4,1.1,28.9,75.2
July,0.5,1.1,28.2,70.8
August,1.1,1.2,28.2,70.1
September,2.1,1.3,28.8,68.4
Oktober,4.3,1.2,29.5,71.4
November,4.7,1.1,28.9,75.5
December,1.7,1.7,28.7,74.8
January,12.3,1.6,28,80
February,9.6,1.4,28.3,80.2
March,10.6,1.6,28.2,78.5
April,6.5,1.5,28.9,78.4
May,1.5,1.5,29.6,73.8
June,0.8,1.2,29.2,71.9
July,0,1.3,28.7,68.5
August,0,1.4,28.3,68.6
September,0,1.3,28.8,68.7
Oktober,0,1.4,29.5,68.9
November,1.7,1.3,29.6,71
December,8.5,1.5,28.5,79.1
January,22.3,1.5,27.9,83.1
February,36,1.4,27.7,84.1
March,7.1,1.5,28.6,79.8
April,6.1,1.4,28.9,79
May,1.6,1.3,29.5,76.2
June,0.7,1.3,29.4,74.3
July,0.4,1.4,28.6,72.6
August,3.3,1.4,28.9,71.7
September,5.1,1.7,29.5,68
Oktober,6.7,1.6,28.8,74.2
November,2.9,1.5,28.9,76.1
December,4.3,2,28.1,76.1
January,10.7,1.6,27.2,82.3
February,21.6,2,27.3,82.9
March,7.9,1.7,28,79.2
April,7.1,1.4,28.5,76.8
May,6.6,1.3,29.2,76.4
June,2.6,1.2,28.4,79.7
July,1.2,1.2,28.5,73.6
August,2.6,1.6,28.7,73.1
September,3.8,1.4,29,73
Oktober,5.9,1.3,29.1,73.9
November,4.5,1.6,28.6,76.1
December,5.5,1.4,28.2,79.6
January,14.5,1.5,28,80.5
February,14.1,1.4,27.7,81
March,6.3,1.7,28.3,79.1
April,11.7,1,28.5,78.6
May,8.8,1.1,28.6,79.7
June,5,0.8,28.1,78.8
July,5.5,1.1,28.7,75.5
August,1.9,1.1,29,73.4
September,5.5,1.2,28.7,74.8
Oktober,10.5,1.1,28.3,76.6
November,8.5,1.2,28.3,77
December,5.9,1.2,27.8,78.9
